First handshake timeout try 1 time  Times passed 1000ms
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 1550033
Acknowledge package seqnum 1558033
Acknowledge package seqnum 1566033
Acknowledge package seqnum 1574033
Acknowledge package seqnum 1582033
Acknowledge package seqnum 1590033
Acknowledge package seqnum 1598033
Acknowledge package seqnum 1606033
Acknowledge package seqnum 1614033
Acknowledge package seqnum 1622033
Acknowledge package seqnum 1630033
Acknowledge package seqnum 1638033
Acknowledge package seqnum 1646033
Acknowledge package seqnum 1654033
Acknowledge package seqnum 1662033
Acknowledge package seqnum 1670033
Acknowledge package seqnum 1678033
Acknowledge package seqnum 1686033
Acknowledge package seqnum 1694033
Acknowledge package seqnum 1702033
Acknowledge package seqnum 1710033
Acknowledge package seqnum 1718033
Acknowledge package seqnum 1726033
Acknowledge package seqnum 1734033
Acknowledge package seqnum 1742033
Acknowledge package seqnum 1750033
Acknowledge package seqnum 1758033
Acknowledge package seqnum 1766033
Acknowledge package seqnum 1774033
Acknowledge package seqnum 1782033
Acknowledge package seqnum 1790033
Acknowledge package seqnum 1798033
Acknowledge package seqnum 1806033
Acknowledge package seqnum 1814033
Acknowledge package seqnum 1822033
Acknowledge package seqnum 1830033
Acknowledge package seqnum 1838033
Acknowledge package seqnum 1846033
Acknowledge package seqnum 1854033
Acknowledge package seqnum 1862033
Acknowledge package seqnum 1870033
Acknowledge package seqnum 1871386
File ./1.jpg succeed to trans 
First wave Succeed! 
Acknowledge Second Wave
Third wave Succeed
Acknowledge Fourth Wave
Succedd to disconnect! 
First handshake timeout try 1 time  Times passed 1000ms
First handshake timeout try 2 time  Times passed 1000ms
First handshake timeout try 3 time  Times passed 1000ms
First handshake timeout try 4 time  Times passed 1000ms
First handshake timeout try 5 time  Times passed 1000ms
Failed to connect in First handshake , please retry 
First handshake Succeed! 
Acknowledge Second Handshake
Third handshake Succeed! 
Acknowledge package seqnum 56837
Acknowledge package seqnum 64837
Acknowledge package seqnum 72837
Acknowledge package seqnum 80837
Acknowledge package seqnum 88837
Acknowledge package seqnum 96837
Acknowledge package seqnum 104837
Acknowledge package seqnum 112837
Acknowledge package seqnum 120837
Acknowledge package seqnum 128837
Acknowledge package seqnum 136837
Acknowledge package seqnum 144837
Acknowledge package seqnum 152837
Acknowledge package seqnum 160837
Acknowledge package seqnum 168837
Acknowledge package seqnum 176837
Acknowledge package seqnum 184837
Acknowledge package seqnum 192837
Acknowledge package seqnum 200837
Acknowledge package seqnum 208837
Acknowledge package seqnum 216837
Acknowledge package seqnum 224837
Acknowledge package seqnum 232837
Acknowledge package seqnum 240837
Acknowledge package seqnum 248837
Acknowledge package seqnum 256837
Acknowledge package seqnum 264837
Acknowledge package seqnum 272837
Acknowledge package seqnum 280837
Acknowledge package seqnum 288837
Acknowledge package seqnum 296837
Acknowledge package seqnum 304837
Acknowledge package seqnum 312837
Acknowledge package seqnum 320837
Acknowledge package seqnum 328837
Acknowledge package seqnum 336837
Acknowledge package seqnum 344837
Acknowledge package seqnum 352837
Acknowledge package seqnum 360837
Acknowledge package seqnum 368837
Acknowledge package seqnum 376837
Acknowledge package seqnum 384837
Acknowledge package seqnum 392837
Acknowledge package seqnum 400837
Acknowledge package seqnum 408837
Acknowledge package seqnum 416837
Acknowledge package seqnum 424837
Acknowledge package seqnum 432837
Acknowledge package seqnum 440837
Acknowledge package seqnum 448837
